FCLTY_NM,LC_LA,LC_LO,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,ADSTRD_NM,RDNMADR_NM,TIME,SEARCH_SUM,RANK_AVG
2016 안양 시민축제,37.3901372701,126.9613301749,경기도,안양시 동안구,평촌동,평안동,경기도 안양시 동안구 관평로 149,2021-01~2021-12,1550.0,6.5
2016 제5회 안양공공예술프로젝트,37.4194056,126.925606,경기도,안양시 만안구,안양동,안양2동,경기도 안양시 만안구 예술공원로 180,2021-01~2021-12,451.0,6.5
2016 평생학습 박람회 & 제6회 도서관책문화축제,37.2984030936,126.8191276,경기도,안산시 상록구,사동,해양동,경기도 안산시 상록구 해양1로 30,2021-01~2021-12,4028.0,6.5
2017 겨울공주군밤축제,36.4333691468,127.124038,충청남도,공주시,금학동,금학동,충청남도 공주시 수원지공원길 74,2021-01~2021-12,3159.0,4.0
2017 광복기념음악회,37.3845877884,126.9313651061,경기도,안양시 만안구,안양동,안양8동,경기도 안양시 만안구 문예로36번길 16,2021-08~2021-08,15.0,1.0
2017 대구약령시한방문화축제,35.867194,128.593426,대구광역시,중구,동성로3가,성내2동,대구광역시 중구 동성로3가 중앙대로 379-2,2021-01~2021-12,6618.0,6.5
2017 물의나라화천 쪽배축제,38.10072,127.697029,강원도,화천군,화천읍,화천읍,강원도 화천군 화천읍 강변로 2-54,2021-06~2021-10,134.0,3.0
2017 안양 시민축제,37.3901372701,126.9613301749,경기도,안양시 동안구,평촌동,평안동,경기도 안양시 동안구 관평로 149,2021-01~2021-12,1550.0,6.5
2017 안양충훈벚꽃축제,37.404615256,126.896157364,경기도,안양시 만안구,석수동,석수3동,경기도 안양시 만안구 석수로 159,2021-03~2021-11,763.0,3.0
2017 얼음나라화천 산천어축제,38.112578,127.709826,강원도,화천군,화천읍,화천읍,강원도 화천군 화천읍 산천어길 137,2021-01~2021-12,4580.0,6.5
2017 영동곶감축제,36.1736274,127.7739921,충청북도,영동군,영동읍,영동읍,충청북도 영동군 영동읍 학산영동로 1244-1,2021-01~2021-12,6620.0,6.5
2017 음식 문화축제,37.2817978,127.0137047,경기도,수원시 팔달구,남창동,행궁동,경기도 수원시 팔달구 정조로 825,2021-01~2021-12,247.0,5.0
2018 계룡산벚꽃축제,36.36030634,127.2509274183,충청남도,공주시,반포면,반포면,충청남도 공주시 반포면 동학사1로 167-31,2021-02~2021-12,318.0,3.5
2018 계룡산산신제,36.333638,127.177107,충청남도,공주시,계룡면,계룡면,충청남도 공주시 계룡면 보목고개로 393,2021-01~2021-11,510.0,6.0
